Date,8035_Open,8035_High,8035_Low,8035_Close,4186_Open,4186_High,4186_Low,4186_Close,5803_Open,5803_High,5803_Low,5803_Close,6508_Open,6508_High,6508_Low,6508_Close,6504_Open,6504_High,6504_Low,6504_Close,5016_Open,5016_High,5016_Low,5016_Close,6920_Open,6920_High,6920_Low,6920_Close,6857_Open,6857_High,6857_Low,6857_Close,5801_Open,5801_High,5801_Low,5801_Close,5802_Open,5802_High,5802_Low,5802_Close
2025-12-18,29940.03,30415.58,29781.51,30029.19,5504.94,5539.6,5444.55,5480.19,2620.94,2692.27,2610.16,2647.48,5367.11,5426.31,5298.05,5376.98,10895.01,11112.91,10885.1,11043.58,1664.11,1702.84,1652.69,1670.56,28089.26,28386.76,27568.63,27856.22,18454.88,18934.23,18434.91,18779.44,884.25,911.46,878.09,899.84,1508.27,1541.4,1491.7,1503.32
2025-12-19,30425.49,31089.28,30405.67,30910.95,5554.45,5587.12,5484.15,5562.37,2676.51,2800.1,2666.56,2758.63,5396.71,5426.31,5357.25,5376.98,11127.77,11182.24,11058.43,11122.81,1682.48,1710.29,1667.09,1710.29,28352.05,28818.14,28104.13,28282.64,19069.04,19383.62,18879.3,19168.91,918.71,921.99,901.03,920.1,1530.03,1576.02,1526.07,1558.46
2025-12-22,32496.13,33130.2,32169.18,32862.7,5693.06,5803.95,5664.35,5803.95,2873.91,2960.17,2847.37,2950.22,5446.04,5495.37,5386.85,5475.64,11419.95,11652.71,11340.71,11563.57,1748.03,1791.24,1732.14,1771.37,29760.24,30137.07,29487.52,29968.49,19673.22,20142.58,19543.4,20022.75,950.49,970.36,945.23,970.36,1618.3,1672.45,1609.4,1671.71
2025-12-23,32862.7,33050.94,32466.4,32694.27,5748.51,5874.25,5718.8,5860.39,2952.71,2965.98,2907.09,2959.34,5515.1,5554.57,5495.37,5554.57,11826.04,11875.56,11514.04,11637.85,1755.98,1804.65,1742.57,1796.2,29750.32,29879.24,29472.65,29750.32,20032.73,20042.72,19563.37,19648.26,968.07,983.07,961.12,983.07,1646.98,1649.45,1617.81,1633.88
2025-12-24,32783.44,33546.31,32605.11,32912.23,5842.57,5882.17,5767.32,5801.97,2959.34,3024.04,2949.39,2997.5,5564.43,5692.69,5515.1,5623.63,11707.18,11791.37,11553.66,11647.75,1787.76,1878.64,1777.33,1875.66,29780.07,29918.91,29363.57,29487.53,19828.01,20237.45,19803.05,20132.6,982.18,1009.59,973.44,1009.09,1619.78,1627.2,1602.72,1607.67
2025-12-25,32793.35,33476.95,32783.44,33476.95,5828.7,5833.66,5762.37,5813.85,2966.81,2987.54,2896.31,2922.85,5633.5,5653.23,5544.7,5603.9,11692.32,11712.13,11479.38,11598.23,1876.65,1917.87,1840.4,1859.27,29472.65,29611.49,28996.65,29115.65,20012.76,20172.54,19678.22,19768.09,1003.63,1016.05,988.83,1007.11,1609.65,1622.75,1591.6,1617.06
2025-12-26,33506.67,34071.39,33486.86,34011.95,5821.77,5838.61,5703.95,5764.35,2934.46,2945.24,2824.98,2846.54,5672.96,5751.89,5475.64,5505.24,11652.71,11731.94,11538.8,11598.23,1867.22,1918.86,1865.73,1903.97,29328.86,29789.99,29219.77,29750.32,19803.04,20437.18,19768.09,20217.48,1008.6,1010.58,979.79,981.68,1625.47,1625.47,1537.45,1546.59
2025-12-29,34279.45,34348.8,33595.84,33912.88,5829.12,5903.85,5804.21,5827.12,2888.84,2979.25,2873.08,2953.54,5554.57,5584.17,5505.24,5564.43,11667.56,11840.89,11603.18,11840.89,1943.69,1982.93,1919.36,1951.64,29931.6,29951.52,29194.52,29304.09,20097.64,20147.58,19703.18,19753.11,976.02,1006.11,976.02,997.17,1564.15,1606.93,1557.72,1566.62
2025-12-30,33457.14,34180.38,33447.23,34002.04,5789.26,5845.06,5764.35,5783.28,2912.07,2958.51,2883.04,2892.99,5554.57,5564.43,5495.37,5495.37,11771.56,11806.23,11662.61,11736.9,1887.08,1961.08,1877.15,1946.67,29299.11,29762.27,28905.66,29528.2,19558.38,19818.03,19513.44,19608.31,983.37,1014.06,974.23,994.19,1563.66,1590.61,1539.18,1563.9
2026-01-05,35745.74,36736.47,35389.07,36587.86,5956.66,6050.32,5897.87,5983.56,3002.47,3077.12,2941.1,3059.7,5692.69,5830.82,5643.36,5801.22,12098.41,12167.74,11930.03,11974.6,2016.2,2023.65,1970.51,2006.27,30828.06,31903.8,30389.79,31585.06,20377.26,21241.09,20252.43,21146.22,1038.89,1052.79,1013.56,1046.83,1613.35,1677.64,1595.3,1659.1
2026-01-06,36855.36,37251.66,36280.74,37003.97,6002.5,6089.18,5900.86,6078.22,3097.03,3102.0,3009.11,3068.83,5781.49,5820.95,5682.83,5811.08,12093.46,12157.84,11895.37,12108.32,2055.93,2150.28,2045.99,2144.82,31873.92,32690.69,31644.83,32630.93,21315.99,21570.64,21151.21,21525.7,1056.27,1067.2,1032.93,1045.84,1642.53,1644.51,1580.96,1613.85
2026-01-07,37152.58,38153.23,37043.6,37816.38,6127.05,6236.66,6089.18,6120.07,3063.85,3097.03,2984.23,3026.53,5712.42,5811.08,5682.83,5722.29,12004.32,12256.88,11939.94,12009.27,2164.68,2202.42,2121.48,2121.48,32670.77,32999.47,31654.79,31973.53,21570.64,21620.57,20422.2,20576.99,1016.05,1034.92,1000.65,1005.12,1617.56,1690.25,1615.83,1643.52
2026-01-08,36835.55,37122.86,36102.4,36300.55,6024.42,6078.22,5913.81,5992.53,3005.79,3057.21,2917.04,2917.04,5742.02,5830.82,5692.69,5712.42,12038.98,12128.13,11835.94,11835.94,2133.4,2198.45,2076.29,2083.74,31774.32,31913.76,30579.04,30579.04,20572.0,20746.76,20042.72,20077.67,1005.12,1010.09,985.75,985.75,1632.15,1639.81,1567.61,1571.57
2026-01-09,36657.22,37846.1,36142.03,37558.79,5971.61,6017.44,5862.0,6017.44,2866.45,2882.21,2761.94,2834.1,5692.69,5781.49,5623.63,5761.75,11771.56,11984.51,11514.04,11806.23,2096.65,2180.08,2044.01,2174.12,30589.0,30828.06,29563.06,30260.3,20152.57,20407.22,19713.17,20227.47,984.46,995.19,958.24,994.69,1568.85,1570.08,1511.98,1558.71
2026-01-13,40620.16,40976.82,39639.33,40649.88,6227.69,6343.27,6140.0,6317.37,2936.95,2944.41,2826.64,2847.37,5919.61,5919.61,5830.82,5890.01,12370.79,12633.26,12182.6,12380.69,2261.52,2311.68,2195.97,2250.59,32352.03,33965.65,32232.5,32949.66,21465.78,22359.56,21281.03,21955.12,1020.51,1020.51,982.67,989.63,1627.45,1637.83,1589.37,1601.98
2026-01-14,41075.89,42007.19,40877.75,41918.02,6304.41,6367.19,6258.58,6367.19,2869.77,2884.7,2799.27,2868.94,5909.74,5968.94,5830.82,5968.94,12618.4,12717.45,12474.79,12593.64,2306.21,2479.03,2305.22,2419.93,33537.34,35150.96,33328.17,34662.89,22129.88,23253.35,22129.88,23028.65,992.21,1000.65,979.89,989.73,1623.24,1626.71,1576.27,1601.98
2026-01-15,40620.16,42601.63,40293.21,42195.43,6247.62,6440.92,6239.65,6434.95,2820.83,2874.74,2804.24,2869.77,5949.21,5988.67,5860.41,5899.88,12400.5,12568.88,12088.51,12306.41,2444.76,2612.12,2425.4,2541.6,34115.06,35858.16,33597.11,35688.83,22569.28,22714.08,21860.25,22459.43,979.69,987.24,963.7,975.82,1619.54,1677.39,1619.04,1660.58
2026-01-16,42601.63,42611.54,41214.6,41759.5,6426.97,6481.78,6293.45,6464.84,2869.77,2949.39,2833.27,2937.78,5919.61,6146.53,5909.74,6146.53,12276.69,12390.6,12004.32,12326.22,2565.44,2679.66,2535.15,2591.76,36455.8,36784.5,35380.05,36445.84,22958.75,23048.63,22284.67,22769.01,979.1,1035.41,971.65,1030.94,1661.57,1708.05,1654.89,1688.27
2026-01-19,41630.71,42036.91,41274.04,41789.23,6327.33,6496.72,6246.62,6458.86,2820.0,2892.16,2781.02,2868.11,6126.8,6235.32,6116.93,6176.13,12182.6,12425.26,12182.6,12380.69,2584.31,2699.02,2561.47,2690.08,36156.98,37172.96,35718.71,36854.22,22169.82,22659.16,22025.02,22129.88,1005.12,1066.7,1004.13,1064.71,1640.8,1675.66,1632.15,1668.99
2026-01-20,41353.3,41531.63,40233.77,40699.41,6387.12,6414.02,6239.65,6293.45,2835.76,2840.74,2760.28,2800.1,5781.49,5968.94,5584.17,5890.01,11885.46,11915.18,11424.9,11459.57,2734.28,2774.01,2607.15,2656.81,36475.72,36714.77,35409.93,35888.04,22025.02,22054.98,21286.03,21455.79,1067.2,1144.66,1052.3,1112.39,1681.35,1683.82,1613.6,1631.16
2026-01-21,39847.38,41174.97,39847.38,40828.21,6094.17,6341.28,6080.22,6340.29,2733.74,2987.54,2728.77,2974.27,5692.69,5949.21,5692.69,5929.48,11162.43,11509.09,11142.62,11182.24,2607.15,2725.34,2577.36,2634.96,35340.21,36834.3,35111.12,36455.8,20921.52,21870.23,20901.55,21740.41,1069.18,1211.71,1069.18,1199.29,1584.67,1665.28,1583.19,1654.15
2026-01-22,42423.3,42928.57,41719.87,42106.26,6450.89,6752.81,6395.09,6707.97,3029.84,3056.38,2953.54,3013.26,6018.27,6067.6,5919.61,6008.4,11479.38,11484.33,11083.2,11083.2,2642.41,2659.79,2489.95,2559.98,37451.86,39214.88,37262.61,38577.41,22369.55,23168.46,22119.89,22818.94,1211.21,1211.71,1161.05,1172.97,1703.6,1722.64,1648.96,1658.85
2026-01-23,41918.02,42145.89,41145.25,41333.49,6508.68,6652.17,6470.82,6586.4,3036.48,3038.97,2943.58,2970.13,6047.87,6284.65,6047.87,6166.26,11162.43,11410.05,11053.48,11395.19,2654.83,2703.49,2602.68,2637.94,36854.22,37053.43,36057.37,36346.23,22808.95,23862.52,22729.06,23498.02,1194.33,1243.49,1181.91,1212.2,1692.48,1705.33,1660.33,1662.81
2026-01-26,40639.97,41927.93,40451.73,40709.32,6476.8,6621.28,6436.94,6475.8,2903.77,3047.26,2902.94,2979.25,5968.94,6136.66,5949.21,5978.81,11221.86,11400.14,11107.96,11162.43,2642.41,2672.21,2544.08,2546.57,35648.99,36475.72,35270.49,35559.34,22998.7,23717.72,22769.01,23542.96,1212.7,1296.62,1203.26,1248.95,1638.08,1665.03,1617.06,1618.79
2026-01-27,41006.54,41809.04,40600.34,41739.69,6557.51,6795.65,6530.6,6793.66,2977.59,3047.26,2923.68,3047.26,5929.48,6166.26,5919.61,6126.8,11340.71,11548.71,11261.48,11434.81,2546.07,2610.13,2522.73,2544.58,36147.02,36993.67,35639.03,36754.61,23762.65,24921.08,23468.06,24921.08,1278.75,1298.11,1240.51,1281.23,1612.86,1661.08,1603.71,1651.43
2026-01-28,42393.57,44196.71,41898.2,43394.21,6661.14,6724.91,6620.28,6718.93,3246.32,3420.5,3233.88,3329.26,6057.73,6067.6,5959.07,6008.4,11637.85,11657.66,11449.66,11657.66,2543.59,2620.56,2531.17,2581.33,37212.8,40161.14,36854.22,39065.47,24946.04,25505.28,24536.6,25505.28,1400.41,1442.63,1379.56,1431.2,1722.15,1777.29,1706.32,1733.27
2026-01-29,43998.56,44018.38,40709.32,40947.1,6805.62,6847.47,6643.2,6717.93,3322.63,3328.43,3159.23,3229.73,6067.6,6156.39,6008.4,6136.66,11771.56,11865.66,11479.38,11637.85,2630.99,2640.42,2544.08,2606.16,39065.47,39344.37,36206.78,37312.41,28955.59,29210.24,26823.49,26823.49,1431.2,1460.01,1361.68,1373.1,1741.19,1759.24,1683.58,1696.19
2026-01-30,40639.97,41551.45,40392.29,40927.29,6731.88,7349.67,6613.31,7251.02,3234.71,3334.24,3155.91,3246.32,6146.53,6166.26,5870.28,5959.07,11395.19,11439.76,10736.54,10885.1,2594.24,2715.41,2459.17,2519.25,37053.43,37302.45,35888.04,36246.62,25734.97,26444.01,25120.81,25470.33,1364.66,1424.75,1325.43,1343.8,1674.43,1709.54,1653.16,1662.56
2026-02-02,39906.83,40986.73,39252.94,39292.57,7283.9,7603.76,7224.12,7245.04,3312.67,3500.95,3234.71,3294.43,5880.15,6126.8,5860.41,6038.0,10914.82,11142.62,10597.87,10607.78,2419.93,2517.27,2325.08,2337.0,33696.71,34095.13,31047.19,31186.64,25310.55,26379.09,24271.96,24271.96,1314.01,1400.41,1295.13,1300.6,1666.51,1743.16,1660.58,1682.34
2026-02-03,40204.05,41402.84,39807.75,41174.97,7427.39,7581.84,7354.65,7581.84,3483.53,3661.03,3441.23,3612.92,6215.59,6472.11,6156.39,6412.91,11112.91,11256.53,11013.86,11157.48,2386.66,2470.09,2362.83,2463.64,32222.54,32461.6,31296.21,31973.53,25505.28,26034.56,24926.07,25994.62,1360.19,1450.57,1350.75,1414.82,1709.78,1929.6,1694.21,1892.76
2026-02-04,40204.05,40620.16,39569.98,40322.94,7572.87,7691.44,7408.46,7664.54,3649.41,3843.5,3626.19,3783.78,6363.58,6531.3,6333.98,6452.38,11048.53,11098.05,10459.21,10508.73,2562.46,2645.89,2547.06,2622.05,30429.63,30469.48,29259.26,29687.57,25390.44,25789.9,24981.0,25440.37,1422.76,1557.84,1418.79,1518.61,1960.75,2037.15,1911.79,1936.77
2026-02-05,39678.96,40342.75,39114.24,39619.52,7644.61,7660.56,7356.64,7381.55,3732.36,3776.32,3539.93,3592.19,6363.58,6541.17,6343.85,6541.17,9806.5,10379.97,9805.51,10305.69,2659.79,2723.36,2489.95,2528.69,29284.16,30290.19,28547.08,28776.17,24666.43,25035.92,23782.63,24217.04,1484.84,1503.21,1414.82,1427.73,1908.83,1928.61,1788.66,1831.44
2026-02-06,39787.94,40966.91,39451.09,40649.88,7263.98,7450.31,7230.1,7414.44,3533.3,3743.14,3526.66,3714.94,6452.38,6669.43,6403.05,6570.77,10132.36,10721.68,10127.41,10672.16,2437.81,2521.24,2413.48,2511.81,29189.54,30290.19,28686.53,30071.05,23368.19,24626.48,23293.29,24496.66,1397.93,1474.41,1395.45,1440.14,1799.29,1874.21,1777.78,1864.32
2026-02-09,41194.78,41937.84,39936.55,40223.86,7713.37,8513.5,7584.83,8401.9,3871.7,4079.88,3508.41,3641.95,6856.88,6876.61,6689.16,6797.69,10964.34,10994.05,10810.82,10934.63,2649.36,2691.08,2580.34,2671.71,31475.5,31734.47,30987.43,31176.68,27492.58,28086.77,26983.27,27317.82,1501.72,1738.1,1459.01,1738.1,2076.96,2120.97,2011.69,2068.8
